label,social_____avg_delta_follower,social_____avg_delta_friend,social_____avg_favourites,social_____avg_follower,social_____avg_friend,social_____avg_listed,social_____avg_statuses,social_____delta_followers_count_down,social_____delta_followers_count_else,social_____delta_followers_count_up,social_____delta_followers_count_up_percent,social_____max_delta_follower,social_____max_delta_friend,social_____max_favourites,social_____max_follower,social_____max_friend,social_____max_listed,social_____max_statuses,social_____verified_percent,tweet_id
non-rumor,-36287219.53333333,974.5308641975308,23162.33827160494,187051.83950617284,1155.8987654320988,808.2469135802469,80251.92839506172,402.0,0.0,3.0,0.007407407407407408,1072.0,78395.0,741214.0,39538464.0,78398.0,134855.0,1330116.0,0.01728395061728395,692630756548591616
non-rumor,-13425495.376383765,725.5645756457565,22687.0989010989,53719.27472527473,1285.3113553113553,264.3626373626374,44083.81318681319,265.0,0.0,6.0,0.02214022140221402,734.0,27222.0,447381.0,14269196.0,27758.0,56266.0,769959.0,0.02197802197802198,693265096278163456
true,-100054.44217687075,728.4149659863946,15815.486666666666,18807.086666666666,1387.0866666666666,206.48,58480.166666666664,135.0,0.0,12.0,0.08163265306122448,446125.0,10757.0,272806.0,564093.0,11098.0,5993.0,759327.0,0.08,553589051044151296
true,-4610592.376190476,1118.1285714285714,16784.654205607476,25691.90186915888,1482.3831775700935,176.10280373831776,46188.68224299065,206.0,0.0,4.0,0.01904761904761905,9955.0,29687.0,147287.0,4966802.0,29714.0,24443.0,732230.0,0.028037383177570093,553590835850514433
false,-80550.11724137931,-390.50344827586207,12460.731376975169,723.4153498871332,399.85778781038374,11.654627539503386,11130.674943566592,412.0,0.0,23.0,0.052873563218390804,1212.0,4420.0,184152.0,96332.0,5276.0,1496.0,101139.0,0.004514672686230248,622858454949040128
false,-14562295.068965517,-3911.7635467980294,13407.921568627451,77516.35294117648,1682.1078431372548,415.86764705882354,31666.725490196077,202.0,0.0,1.0,0.0049261083743842365,412.0,51129.0,449232.0,15318105.0,56569.0,56989.0,710340.0,0.0196078431372549,656870311057575936
true,-92178.96753246753,337.8376623376623,18227.63169164882,3649.982869379015,1045.777301927195,103.98929336188436,29622.730192719486,434.0,0.0,28.0,0.06060606060606061,128977.0,29244.0,847700.0,281266.0,29480.0,4404.0,496681.0,0.044967880085653104,616311563071434753
non-rumor,-2058122.454248366,-17480.24183006536,10112.724025974027,10375.818181818182,1205.7662337662337,184.67207792207793,31063.025974025975,298.0,0.0,8.0,0.026143790849673203,1653.0,15314.0,282287.0,2525614.0,37592.0,30903.0,1955494.0,0.03896103896103896,641666167992647681
true,-51284248.91428571,694.536507936508,18801.43492063492,315818.6126984127,2337.980952380952,1136.7809523809524,74523.20317460317,309.0,0.0,6.0,0.01904761904761905,27325.0,137701.0,605706.0,55087399.0,137822.0,183185.0,1800870.0,0.03492063492063492,525060425184858112
false,-12295170.93006993,517.5244755244755,27025.412587412586,136869.46153846153,1174.1818181818182,646.4615384615385,53874.27972027972,140.0,0.0,3.0,0.02097902097902098,2644.0,11776.0,279264.0,14269203.0,12312.0,56266.0,476841.0,0.055944055944055944,672513234419638273
true,-3951780.9569892474,-2440.1935483870966,17205.425531914894,86559.79787234042,1008.0957446808511,436.0425531914894,45276.54255319149,91.0,0.0,2.0,0.021505376344086023,5212336.0,10867.0,189116.0,6532480.0,13779.0,23869.0,505570.0,0.06382978723404255,544382892378714113
non-rumor,-16323797.392523365,621.873831775701,20490.340707964602,200219.8185840708,1748.646017699115,1046.296460176991,72821.80088495575,207.0,0.0,7.0,0.03271028037383177,42092376.0,54347.0,356913.0,43296892.0,54814.0,199783.0,1711952.0,0.030973451327433628,681824512120324096
false,-5060.0,-1492.875,23168.30681818182,1314.3863636363637,956.8863636363636,66.95454545454545,59928.545454545456,5.0,0.0,3.0,0.375,804.0,458.0,297291.0,28057.0,11325.0,1429.0,540757.0,0.0,620835698514464768
false,-888893.1521918941,-236395.682382134,15168.76948051948,1552.8887987012988,785.4350649350649,9.243506493506494,28220.89853896104,1137.0,1.0,71.0,0.058726220016542596,12153.0,2005.0,384679.0,1044811.0,278054.0,3455.0,381211.0,0.0,626898253900943360
false,-39997021.77884615,-284.86538461538464,13320.33014354067,201656.76555023924,825.3875598086124,704.0287081339712,54160.91387559809,206.0,0.0,2.0,0.009615384615384616,657.0,11456.0,215017.0,41806531.0,12564.0,138304.0,2084710.0,0.004784688995215311,618804516578680832
false,-111355.5403508772,-43902.00701754386,31923.097791798107,6960.432176656152,5612.435331230284,96.86119873817034,70017.54258675079,277.0,0.0,8.0,0.028070175438596492,244154.0,92045.0,564686.0,246755.0,143069.0,3451.0,846612.0,0.0031545741324921135,672632899921833984
true,-11128614.368983958,-4302.877005347594,23463.084656084655,62876.550264550264,1362.4603174603174,535.4285714285714,48338.80952380953,185.0,0.0,2.0,0.0106951871657754,6753.0,6907.0,480278.0,11436164.0,12614.0,84907.0,710340.0,0.07407407407407407,553588178687655936
false,-121789.80049875312,360.0523690773067,16371.635036496351,1048.1946472019465,527.3844282238443,8.659367396593675,25209.603406326034,381.0,0.0,20.0,0.04987531172069826,4246.0,4852.0,189485.0,139388.0,4975.0,809.0,233806.0,0.0,594687353937100801
false,-199465.66393442624,-268.10655737704917,46013.49593495935,4166.024390243902,1678.6829268292684,77.98373983739837,102972.57723577236,121.0,0.0,1.0,0.00819672131147541,6893.0,44186.0,646561.0,227998.0,45090.0,2025.0,844635.0,0.008130081300813009,613016993692798977
false,-1728130.6762295081,606.9795081967213,13524.382470119523,9012.812749003984,659.605577689243,43.99601593625498,56521.10756972111,234.0,0.0,10.0,0.040983606557377046,7768.0,32850.0,354190.0,1953340.0,32851.0,7605.0,2084412.0,0.0,663385747177775105
non-rumor,-10444719.95623987,901.7633711507293,21491.252411575562,19116.40032154341,972.1929260450161,156.66720257234726,25162.368167202574,604.0,0.0,13.0,0.02106969205834684,5819.0,100511.0,1002245.0,11131171.0,100525.0,73850.0,821575.0,0.006430868167202572,766715993385267201
non-rumor,-10465550.665775402,758.6229946524064,24134.48987854251,21132.080971659918,1142.982456140351,164.97165991902833,39014.927125506074,731.0,0.0,17.0,0.022727272727272728,11882.0,34410.0,494229.0,13259006.0,34640.0,63394.0,1320250.0,0.022941970310391364,693141729529184256
true,-2349755.4905660376,2059.6603773584907,22180.675925925927,34095.24074074074,2741.0,323.3796296296296,84808.56481481482,104.0,0.0,2.0,0.018867924528301886,341.0,121002.0,244071.0,2770058.0,121629.0,22238.0,1320182.0,0.037037037037037035,524966904885428226
false,-855486.6927374302,150.6312849162011,29488.377659574468,6864.494680851064,705.5,59.3031914893617,55957.382978723406,169.0,0.0,10.0,0.055865921787709494,2112.0,10305.0,287640.0,1079261.0,10753.0,6511.0,448291.0,0.010638297872340425,613393657161510913
true,-13329969.322404372,874.3825136612022,21472.804347826088,82066.55978260869,1484.483695652174,369.1630434782609,59057.40217391304,181.0,0.0,2.0,0.01092896174863388,204487.0,16893.0,790892.0,14269186.0,17429.0,56265.0,849061.0,0.03260869565217391,544374511194632192
unverified,-929578.951807229,-113970.46987951807,35264.82558139535,14159.046511627907,3948.4302325581393,282.69767441860466,54576.104651162794,82.0,0.0,1.0,0.012048192771084338,334.0,111.0,277174.0,1004384.0,125313.0,14353.0,969145.0,0.011627906976744186,706665777332621314
non-rumor,-12839326.69122807,1139.340350877193,28723.852631578946,48035.56140350877,1422.8877192982457,317.5052631578947,54663.41052631579,283.0,0.0,2.0,0.007017543859649123,1145.0,33404.0,516339.0,13259003.0,33634.0,63394.0,1320250.0,0.017543859649122806,693827886021767169
false,-13809.161290322581,-54.75268817204301,3901.66,1281.81,795.53,23.28,5834.39,90.0,0.0,3.0,0.03225806451612903,670.0,7845.0,24161.0,24993.0,8488.0,184.0,79200.0,0.0,604354747357859842
non-rumor,-37425426.0615142,750.5567823343848,38883.62323390895,71569.97488226059,1987.978021978022,455.4646781789639,64463.64835164835,626.0,0.0,8.0,0.012618296529968454,38872.0,51840.0,695411.0,43297400.0,52727.0,199789.0,1651606.0,0.06279434850863422,767709416879644672
non-rumor,-3523701.0313479626,673.3134796238245,35217.11728395062,22163.317901234568,1349.817901234568,161.66358024691357,48538.59259259259,316.0,0.0,3.0,0.009404388714733543,8591.0,51901.0,599447.0,6285659.0,52177.0,38757.0,1055370.0,0.0030864197530864196,693146363685642240
false,-1668627.84,1478.513846153846,9964.454545454546,8599.942424242425,1626.8757575757577,39.972727272727276,66751.37272727273,309.0,0.0,16.0,0.04923076923076923,1499.0,87932.0,147899.0,1953284.0,87933.0,7605.0,626485.0,0.0,652783670370115585
false,-18000.71551724138,-1682.4094827586207,17225.525291828795,1058.0778210116732,759.9338521400779,35.06225680933852,29158.949416342413,207.0,1.0,24.0,0.10344827586206896,5031.0,5188.0,261423.0,28123.0,8472.0,2942.0,715732.0,0.0,674187250792558592
unverified,-960789.5359477124,1962.3790849673203,36445.655844155845,9936.188311688311,2288.512987012987,127.01948051948052,62646.318181818184,153.0,0.0,0.0,0.0,-1710.0,23098.0,368745.0,1090461.0,23211.0,8828.0,624981.0,0.012987012987012988,726043971911213057
true,-179175.76237623763,-1795.2970297029703,24369.99019607843,11285.274509803921,1658.0196078431372,337.30392156862746,77762.9705882353,97.0,0.0,4.0,0.039603960396039604,5902.0,3771.0,259041.0,270023.0,7750.0,8489.0,472988.0,0.10784313725490197,524935485370929152
unverified,-25008.272727272728,-16247.39393939394,71935.60555555555,8382.972222222223,7198.261111111111,125.41666666666667,109731.56666666667,25.0,0.0,8.0,0.24242424242424243,11479.0,12259.0,597765.0,279830.0,186919.0,2222.0,702026.0,0.0,730939370765754368
unverified,-834979.5801886793,288.74528301886795,23486.660465116278,6890.223255813953,1072.6976744186047,66.66976744186047,39224.68372093023,199.0,0.0,13.0,0.06132075471698113,30939.0,12922.0,514966.0,1149695.0,13402.0,2592.0,295023.0,0.009302325581395349,723365789378584578
false,-7911743.958115183,-1409.6753926701572,20975.134715025906,53352.709844559584,1077.8704663212436,763.5129533678756,49223.18134715026,181.0,0.0,10.0,0.05235602094240838,56028.0,6102.0,375742.0,9811466.0,8871.0,127891.0,412698.0,0.025906735751295335,674244561519161344
true,-1725149.8086419753,146.6358024691358,20206.222891566264,22947.439759036144,1442.7469879518073,215.29518072289156,61431.35542168675,156.0,0.0,6.0,0.037037037037037035,63975.0,14087.0,217256.0,3147108.0,14536.0,10463.0,736294.0,0.0783132530120482,553535829017370625
unverified,-12479642.24074074,-101.23148148148148,37189.73831775701,128951.91588785047,1744.785046728972,920.5514018691589,97409.90654205608,107.0,0.0,1.0,0.009259259259259259,423.0,11784.0,382388.0,13615413.0,13303.0,89688.0,1651608.0,0.009345794392523364,731093044460683264
non-rumor,-11582591.384615384,-22731.465734265734,27095.71794871795,30912.878542510123,1593.901484480432,81.62483130904184,54488.35222672065,703.0,0.0,12.0,0.016783216783216783,115545.0,22018.0,707181.0,15531321.0,53871.0,31758.0,771912.0,0.002699055330634278,693086218276474880
non-rumor,-10824844.352739725,1386.9041095890411,24022.901023890787,39424.109215017066,1556.334470989761,293.3481228668942,37124.470989761096,287.0,0.0,5.0,0.017123287671232876,8065.0,41874.0,442537.0,11131085.0,41888.0,73849.0,969145.0,0.006825938566552901,692150118921957376
false,-13047217.95049505,-3286.19801980198,19657.529411764706,49865.549019607846,2603.3333333333335,292.37254901960785,45852.10784313725,298.0,0.0,5.0,0.0165016501650165,643.0,399162.0,1091702.0,14268967.0,399698.0,56268.0,1183842.0,0.013071895424836602,656830586577883136
true,-26057.48979591837,-3908.377551020408,30534.615384615383,5049.134615384615,2335.153846153846,200.55769230769232,76153.16346153847,88.0,0.0,10.0,0.10204081632653061,72061.0,44220.0,370621.0,85822.0,46913.0,2911.0,611457.0,0.08653846153846154,553543369604210689
non-rumor,-16739850.45,-1373.8702702702703,42207.86486486487,29142.762162162162,3140.17027027027,150.49594594594595,64074.58513513514,739.0,0.0,1.0,0.0013513513513513514,3980.0,54278.0,684944.0,18518008.0,54676.0,65782.0,1029374.0,0.004054054054054054,767814876433571840
true,-39432275.78438662,657.3308550185874,30844.191176470587,161940.86764705883,1762.5036764705883,838.3272058823529,77159.75735294117,268.0,0.0,1.0,0.0037174721189591076,505.0,39640.0,331416.0,43296882.0,40527.0,199783.0,2193739.0,0.04044117647058824,649985459389661184
true,-2561482.72,938.9709090909091,16207.38989169675,25557.08664259928,1628.898916967509,270.7003610108303,51532.3321299639,266.0,0.0,9.0,0.03272727272727273,2019847.0,28019.0,289817.0,3484644.0,28022.0,23628.0,465940.0,0.07220216606498195,553531413459660800
non-rumor,-32309736.830039527,581.2707509881423,24822.487229862476,84970.39685658153,1681.9410609037327,345.9901768172888,62574.41650294695,490.0,0.0,16.0,0.03162055335968379,10019.0,105434.0,1753153.0,41805822.0,106542.0,138304.0,1800871.0,0.019646365422396856,693840291992838147
false,-9097.575862068965,-27.93793103448276,43354.558219178085,1369.61301369863,719.0513698630137,68.08904109589041,48189.20547945205,255.0,0.0,35.0,0.1206896551724138,36003.0,14048.0,817395.0,46768.0,14078.0,1703.0,739649.0,0.023972602739726026,663925546812837888
true,-22141036.953885566,-261.4073441502989,14719.793637145314,37978.71883061049,753.3800515907137,153.067067927773,22834.827171109202,1110.0,0.0,61.0,0.05209222886421862,41797672.0,29549.0,971620.0,41805921.0,30462.0,138305.0,756963.0,0.013757523645743766,614604054552018944
false,-195616.0909090909,-173301.8961038961,43156.36708860759,8102.46835443038,7827.835443037975,211.29113924050634,100247.21518987342,77.0,0.0,0.0,0.0,-363.0,-75.0,461361.0,212320.0,188596.0,4025.0,1086840.0,0.0,637382230394822656
false,-105543.32432432432,-142772.62162162163,73491.90789473684,6434.578947368421,6408.25,174.92105263157896,112881.3947368421,74.0,0.0,0.0,0.0,-1647.0,-1956.0,796403.0,128595.0,172935.0,1247.0,832647.0,0.013157894736842105,661222523275636736
unverified,-27325.149068322982,-1690.745341614907,35177.412121212124,3283.224242424242,2510.5575757575757,95.76363636363637,72539.45454545454,155.0,0.0,6.0,0.037267080745341616,52738.0,31290.0,354825.0,89653.0,34640.0,1976.0,1313434.0,0.01818181818181818,714531423273746432
false,-196524.30122591945,-1050.9964973730298,27422.18481848185,1748.483498349835,791.6023102310231,35.81188118811881,54681.714521452144,500.0,0.0,71.0,0.1243432574430823,3006.0,20879.0,591415.0,353985.0,22702.0,8406.0,710340.0,0.0016501650165016502,675043569367982081
true,-8638595.923404256,-1454.672340425532,15322.62447257384,46247.38818565401,1265.9662447257383,682.7130801687764,46366.25316455696,227.0,0.0,8.0,0.03404255319148936,8591.0,9632.0,245653.0,9811467.0,12401.0,127892.0,1320250.0,0.07172995780590717,544314234541469696
unverified,-4806.986206896552,-2253.041379310345,7806.632653061224,1363.0272108843537,3676.0408163265306,158.42176870748298,70842.61904761905,141.0,0.0,4.0,0.027586206896551724,15431.0,8398.0,181781.0,21410.0,14341.0,1069.0,537619.0,0.0,651809229842608128
non-rumor,-31327024.23809524,356.2577030812325,21030.421787709496,95579.7374301676,700.413407821229,186.87988826815644,37729.19273743017,347.0,0.0,10.0,0.028011204481792718,42807.0,17988.0,320542.0,33890905.0,18285.0,59969.0,808839.0,0.00558659217877095,693140340367187969
true,-1411650.8870056497,736.4689265536723,19633.421348314605,19848.955056179777,1914.3314606741574,296.2865168539326,75020.12359550562,172.0,0.0,5.0,0.02824858757062147,26955.0,31133.0,223652.0,1585649.0,34640.0,20391.0,927735.0,0.1404494382022472,553534838880608256
false,-24615217.64722222,1463.7666666666667,20662.090909090908,169728.75852272726,2127.213068181818,689.9545454545455,68325.65625,358.0,0.0,2.0,0.005555555555555556,52300433.0,137481.0,259415.0,55087320.0,137822.0,183190.0,1955493.0,0.022727272727272728,633961125126668288
true,-121711.312,155.416,31206.828125,14230.046875,2432.734375,197.0234375,77193.546875,117.0,0.0,8.0,0.064,420348.0,49881.0,900431.0,516015.0,52226.0,3028.0,894817.0,0.140625,544512108885725184
true,-51333558.88432433,963.3783783783783,15045.410173160173,63022.666666666664,1324.232683982684,252.64826839826839,39455.49025974026,909.0,0.0,16.0,0.017297297297297298,10960.0,137703.0,605765.0,55087874.0,137824.0,183188.0,1688330.0,0.024891774891774892,552805488631758849
false,-14365.213114754099,-8380.647540983606,27755.656,5162.32,4893.328,84.792,67525.824,102.0,0.0,20.0,0.16393442622950818,110391.0,97681.0,260640.0,117343.0,102009.0,1193.0,452212.0,0.0,645711628046995462
true,-2066228.9921612542,-1353.8297872340424,19288.92486187845,5762.3502762430935,885.8232044198895,64.80662983425414,35038.7226519337,865.0,0.0,28.0,0.03135498320268757,400175.0,24721.0,718429.0,2994198.0,27493.0,21858.0,2193934.0,0.02541436464088398,614608936491188225
non-rumor,-40635473.606153846,-3059.0492307692307,22869.382262996944,135649.13455657492,2652.1498470948013,724.0061162079511,49864.633027522934,321.0,0.0,4.0,0.012307692307692308,3810.0,258135.0,496688.0,43297689.0,259022.0,199785.0,959975.0,0.021406727828746176,693858804279201794
false,-56158.52121212121,-50641.024242424246,50899.84745762712,8459.084745762711,5804.5197740113,105.31638418079096,91491.8813559322,156.0,0.0,9.0,0.05454545454545454,125134.0,11752.0,516760.0,186462.0,78039.0,1350.0,629037.0,0.0,674014933235859456
non-rumor,-37361397.259615384,1071.224358974359,21165.74358974359,242512.04487179487,1139.3653846153845,1086.2596153846155,75285.55448717948,310.0,0.0,2.0,0.00641025641025641,3236.0,28288.0,354952.0,39537931.0,28291.0,134850.0,1800871.0,0.02564102564102564,690042063958732800
non-rumor,-23968224.650406506,714.439024390244,20048.18699186992,107395.76829268293,827.930894308943,521.8333333333334,51248.98780487805,246.0,0.0,0.0,0.0,-415.0,12054.0,508266.0,24965535.0,12124.0,113421.0,1711952.0,0.016260162601626018,693041285087756288
false,-19406.3,30.4,10696.664285714285,1566.5357142857142,947.2785714285715,17.792857142857144,23289.985714285714,10.0,0.0,0.0,0.0,-770.0,1629.0,101155.0,41678.0,17801.0,330.0,260118.0,0.0,620971220301787136
false,-34019.542056074766,-5822.915887850468,11814.611111111111,2062.472222222222,1344.0277777777778,128.05555555555554,21857.222222222223,106.0,0.0,1.0,0.009345794392523364,10535.0,6825.0,109180.0,46964.0,14058.0,4105.0,436813.0,0.0,656880145769197568
true,-3979513.502768549,-810.4324473975637,28911.179302711676,6169.302711676813,1638.2224681793027,102.37797454344216,46440.37133370227,1738.0,0.0,68.0,0.03765227021040975,43618.0,86644.0,1172002.0,6285668.0,86920.0,38759.0,1323274.0,0.021029330381848368,674263945172119552
false,-720291.9243119266,-92.35837155963303,27589.42429106474,2997.5436062065273,806.1749598715891,47.795077581594434,72780.59657570893,1581.0,0.0,163.0,0.09346330275229357,541298.0,58296.0,712642.0,1556213.0,58662.0,16144.0,796384.0,0.006955591225254147,612646796355960832
true,-258028.80434782608,868.7282608695652,23009.05376344086,8458.354838709678,1126.215053763441,95.70967741935483,59459.655913978495,86.0,0.0,6.0,0.06521739130434782,7217.0,5870.0,282804.0,308556.0,6014.0,2647.0,821560.0,0.053763440860215055,544511199702822913
unverified,-125341.57471264368,-2120.896551724138,20158.715909090908,4715.261363636364,1236.8522727272727,98.20454545454545,37785.64772727273,85.0,0.0,2.0,0.022988505747126436,1945.0,10162.0,330169.0,145132.0,14024.0,2469.0,242434.0,0.056818181818181816,650952376954650629
non-rumor,-31104045.916292973,236.40358744394618,12688.502215657312,50610.75480059084,554.4254062038405,96.12555391432792,18781.93943870015,647.0,0.0,22.0,0.03288490284005979,1584.0,6099.0,250809.0,33890782.0,6396.0,59964.0,1029353.0,0.0014771048744460858,693441093048766464
true,-6110781.568181818,-578.1590909090909,15927.355555555556,122267.86666666667,1957.4777777777779,756.5888888888888,73808.24444444444,88.0,0.0,0.0,0.0,-38164.0,19830.0,213683.0,6514432.0,21598.0,41238.0,1769489.0,0.06666666666666667,553107921081749504
false,-64663.79090909091,-19130.963636363635,63499.44915254237,15845.5,10018.483050847457,179.92372881355934,106304.48305084746,96.0,0.0,14.0,0.12727272727272726,209583.0,118385.0,480617.0,279374.0,129872.0,2397.0,975386.0,0.0,666190716448587776
non-rumor,-891830.7279693487,100.90229885057471,33729.08550185874,8837.869888475836,2911.879182156134,174.61338289962825,84309.88475836431,500.0,0.0,22.0,0.0421455938697318,479123.0,393642.0,391610.0,1585653.0,396016.0,20392.0,2193965.0,0.031598513011152414,681199637387149313
true,-21144.270485859317,-1155.1609862219,38225.825403225805,2389.4637096774195,1252.2528225806452,79.57016129032257,75932.33467741935,1161.0,1.0,217.0,0.15736040609137056,68215.0,9354.0,817437.0,231286.0,81351.0,13014.0,2193963.0,0.01653225806451613,632377165477191680
false,-918357.3947368421,426.5921052631579,15824.397435897436,18227.0641025641,668.7820512820513,43.38461538461539,37081.846153846156,75.0,0.0,1.0,0.013157894736842105,255.0,7388.0,211689.0,949540.0,7638.0,2344.0,461522.0,0.0,652992524504600576
unverified,-189104.38709677418,3405.9112903225805,55729.51587301587,6383.150793650793,4725.039682539683,124.89682539682539,115554.24603174604,124.0,0.0,0.0,0.0,-1161.0,56297.0,312553.0,200747.0,56561.0,3274.0,1913436.0,0.007936507936507936,763738618573623297
false,-50639.31578947369,-21945.36842105263,40799.3629032258,5679.895161290323,4627.7661290322585,77.38306451612904,67449.29838709677,15.0,0.0,4.0,0.21052631578947367,1705.0,1226.0,808006.0,146606.0,129872.0,2397.0,488279.0,0.0,672927317191229440
unverified,-1269140.9,708.6761904761905,43509.602803738315,14545.654205607476,1559.6542056074766,256.6355140186916,68812.43925233645,208.0,0.0,2.0,0.009523809523809525,1154.0,23366.0,688203.0,1776867.0,24010.0,33024.0,924974.0,0.03271028037383177,757367391202471937
non-rumor,-37076551.61004785,1664.968899521531,27334.026252983294,97372.06682577566,1763.1336515513126,454.6229116945107,76225.01909307876,416.0,0.0,2.0,0.004784688995215311,1392.0,42486.0,657007.0,39537724.0,42489.0,134851.0,1173136.0,0.03341288782816229,688819658057740290
non-rumor,-12860826.584717607,1633.0066445182724,41411.84210526316,46689.77960526316,1956.5756578947369,348.8256578947368,78243.75,301.0,0.0,0.0,0.0,-627.0,34411.0,775248.0,13259005.0,34641.0,63394.0,1320250.0,0.029605263157894735,692845716826300418
unverified,-1461087.5046728973,1117.8785046728972,40507.12037037037,18469.39814814815,1867.6574074074074,385.537037037037,84033.11111111111,104.0,0.0,3.0,0.028037383177570093,1815.0,28601.0,306619.0,1776867.0,29245.0,33024.0,558073.0,0.009259259259259259,756282236375277568
non-rumor,-29418655.195688225,1062.7611940298507,23409.55968992248,117858.28062015504,1262.941085271318,517.215503875969,49049.07906976744,559.0,0.0,44.0,0.07296849087893864,12947.0,45681.0,657216.0,39538454.0,45684.0,134855.0,1173151.0,0.017054263565891473,692742353736568833
false,-2576689.808695652,424.1478260869565,17277.147826086955,25183.35652173913,1091.817391304348,252.88695652173914,50595.63478260869,114.0,0.0,1.0,0.008695652173913044,98.0,14754.0,225722.0,2770124.0,15381.0,22239.0,1320250.0,0.017391304347826087,675193315306905600
false,-420865.01485148515,-266369.1666666667,28998.94483128013,3945.874129619711,3027.1392608462775,64.30583824317087,52467.723085163365,1739.0,0.0,79.0,0.043454345434543455,540192.0,436403.0,574534.0,1076628.0,776194.0,2555.0,1429345.0,0.004284949116229245,674364257799004160
unverified,-39335.18091451292,-182.6858846918489,33312.46771037182,2206.086105675147,1851.7181996086106,87.24853228962817,47459.10567514677,487.0,0.0,16.0,0.03180914512922465,74474.0,54246.0,386676.0,115469.0,55753.0,1907.0,844635.0,0.009784735812133072,716461257025581056
false,-562191.8498293515,296.5324232081911,34219.88815789474,9115.486842105263,2300.7763157894738,193.83881578947367,70206.69736842105,288.0,0.0,5.0,0.017064846416382253,1088001.0,30080.0,796455.0,1556210.0,31257.0,16144.0,1102696.0,0.006578947368421052,662430295254175744
true,-309569.2083333333,-11679.825,19016.484126984127,7512.007936507936,2359.1984126984125,126.02380952380952,73012.24603174604,114.0,0.0,6.0,0.05,27513.0,25806.0,480317.0,409437.0,72407.0,4274.0,406845.0,0.0873015873015873,544512676643500033
false,-40047153.63613861,55.44059405940594,22142.049627791563,107164.0446650124,1159.183622828784,420.3498759305211,64313.78660049628,400.0,0.0,4.0,0.009900990099009901,2021.0,40713.0,453952.0,41806249.0,41821.0,138301.0,1712257.0,0.017369727047146403,638050997340893184
non-rumor,-28659966.50393701,164.44094488188978,17494.11937984496,53317.513178294575,691.337984496124,107.63875968992248,31856.117829457366,603.0,0.0,32.0,0.050393700787401574,7785.0,45887.0,457022.0,33890660.0,46184.0,59963.0,1029353.0,0.007751937984496124,692890520960397312
true,-8826674.610062893,654.7358490566038,15235.23125,70617.60625,3337.99375,1002.65,73707.525,156.0,0.0,3.0,0.018867924528301886,8227.0,259879.0,236834.0,9811487.0,262648.0,127897.0,1320250.0,0.06875,544324444773433348
