label,structural_1_hop_neighbor_count,structural_2_hop_neighbor_count,structural_3_hop_neighbor_count,structural_4_hop_neighbor_count,structural_5_hop_neighbor_count,structural_6_hop_neighbor_count,structural_7_hop_neighbor_count,structural_8_hop_neighbor_count,structural_avg_depth,structural_dst_user_count,structural_max_depth,structural_reply_count,structural_reply_users_count,structural_retweet_count,structural_retweet_reply_percent,structural_retweet_users_count,structural_root_to_all_depth_max,structural_root_to_all_depth_sum,structural_src_dst_user_percent,structural_src_user_count,structural_trace_count,tweet_id
non-rumor,57.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1398601398601398,428.0,3.0,26.0,26.0,403.0,0.9393939393939394,402.0,3.0,489.0,0.042505592841163314,19.0,428.0,692630756548591616
non-rumor,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0686274509803921,305.0,3.0,17.0,17.0,289.0,0.9444444444444444,289.0,3.0,327.0,0.06153846153846154,20.0,306.0,693265096278163456
true,39.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.4156626506024097,165.0,4.0,8.0,8.0,157.0,0.9515151515151515,157.0,4.0,235.0,0.15384615384615385,30.0,164.0,553589051044151296
true,18.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.095435684647303,240.0,3.0,15.0,15.0,225.0,0.9375,225.0,3.0,264.0,0.07692307692307693,20.0,240.0,553590835850514433
false,62.0,18.0,6.0,2.0,0.0,0.0,0.0,0.0,1.2530864197530864,485.0,5.0,16.0,16.0,469.0,0.9670103092783505,469.0,5.0,609.0,0.12926391382405744,72.0,486.0,622858454949040128
false,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041860465116279,214.0,2.0,1.0,1.0,213.0,0.9953271028037384,213.0,2.0,224.0,0.036036036036036036,8.0,213.0,656870311057575936
true,169.0,41.0,23.0,7.0,4.0,0.0,0.0,0.0,1.7505112474437627,488.0,6.0,33.0,31.0,457.0,0.9326530612244898,457.0,6.0,856.0,0.15424610051993068,89.0,490.0,616311563071434753
non-rumor,49.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,323.0,4.0,3.0,3.0,320.0,0.9907120743034056,320.0,4.0,396.0,0.11019283746556474,40.0,322.0,641666167992647681
true,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1284916201117319,357.0,2.0,18.0,18.0,340.0,0.9497206703910615,339.0,2.0,404.0,0.03773584905660377,14.0,357.0,525060425184858112
false,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1533742331288344,162.0,3.0,36.0,32.0,130.0,0.7831325301204819,130.0,3.0,188.0,0.0898876404494382,16.0,168.0,672513234419638273
true,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.690909090909091,109.0,3.0,7.0,7.0,102.0,0.9357798165137615,102.0,3.0,186.0,0.07627118644067797,9.0,109.0,544382892378714113
non-rumor,119.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.6926229508196722,243.0,5.0,6.0,6.0,237.0,0.9753086419753086,237.0,5.0,413.0,0.07251908396946564,19.0,244.0,681824512120324096
false,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09375,95.0,2.0,5.0,5.0,90.0,0.9473684210526315,90.0,2.0,105.0,0.09523809523809523,10.0,95.0,620835698514464768
false,185.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1985347985347985,1364.0,4.0,34.0,33.0,1331.0,0.9750915750915751,1331.0,4.0,1636.0,0.12395632626846499,193.0,1366.0,626898253900943360
false,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0389610389610389,230.0,3.0,23.0,23.0,207.0,0.9,207.0,3.0,240.0,0.03765690376569038,9.0,229.0,618804516578680832
false,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2981530343007917,378.0,3.0,70.0,65.0,314.0,0.8177083333333334,313.0,3.0,492.0,0.11475409836065574,49.0,395.0,672632899921833984
true,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0285714285714285,209.0,2.0,11.0,11.0,198.0,0.9473684210526315,198.0,2.0,216.0,0.03686635944700461,8.0,208.0,553588178687655936
false,59.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1873684210526316,474.0,4.0,3.0,3.0,471.0,0.9936708860759493,471.0,4.0,564.0,0.12384473197781885,67.0,474.0,594687353937100801
false,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1544117647058822,135.0,3.0,7.0,7.0,128.0,0.9481481481481482,128.0,3.0,157.0,0.10596026490066225,16.0,135.0,613016993692798977
false,29.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1655172413793105,289.0,4.0,2.0,2.0,287.0,0.9930795847750865,287.0,4.0,338.0,0.09404388714733543,30.0,290.0,663385747177775105
non-rumor,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0676470588235294,679.0,3.0,7.0,7.0,672.0,0.9896907216494846,672.0,3.0,726.0,0.051675977653631286,37.0,678.0,766715993385267201
non-rumor,162.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,815.0,4.0,161.0,147.0,669.0,0.8060240963855422,668.0,4.0,986.0,0.053426248548199766,46.0,854.0,693141729529184256
true,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1526717557251909,130.0,3.0,6.0,6.0,124.0,0.9538461538461539,124.0,3.0,151.0,0.08450704225352113,12.0,129.0,524966904885428226
false,34.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,1.3365384615384615,207.0,4.0,26.0,25.0,182.0,0.875,182.0,4.0,278.0,0.15853658536585366,39.0,209.0,613393657161510913
true,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0776699029126213,205.0,3.0,8.0,8.0,197.0,0.9609756097560975,197.0,3.0,222.0,0.046511627906976744,10.0,204.0,544374511194632192
unverified,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957446808510638,93.0,3.0,2.0,2.0,91.0,0.978494623655914,91.0,3.0,103.0,0.0970873786407767,10.0,92.0,706665777332621314
non-rumor,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025078369905956,318.0,2.0,60.0,57.0,261.0,0.8130841121495327,261.0,2.0,327.0,0.03048780487804878,10.0,322.0,693827886021767169
false,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,104.0,3.0,0.0,0.0,104.0,1.0,104.0,3.0,154.0,0.10344827586206896,12.0,103.0,604354747357859842
non-rumor,86.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1586608442503639,686.0,4.0,21.0,19.0,667.0,0.9694767441860465,667.0,4.0,796.0,0.08042895442359249,60.0,688.0,767709416879644672
non-rumor,127.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,374.0,3.0,15.0,14.0,360.0,0.96,360.0,3.0,585.0,0.05555555555555555,22.0,376.0,693146363685642240
false,41.0,11.0,1.0,3.0,1.0,0.0,0.0,0.0,1.211340206185567,387.0,6.0,2.0,2.0,385.0,0.9948320413436692,385.0,6.0,470.0,0.10416666666666667,45.0,387.0,652783670370115585
false,80.0,27.0,9.0,2.0,2.0,0.0,0.0,0.0,1.5953177257525084,298.0,6.0,7.0,7.0,291.0,0.9765100671140939,291.0,6.0,477.0,0.1989247311827957,74.0,298.0,674187250792558592
unverified,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1021505376344085,185.0,2.0,39.0,36.0,150.0,0.7936507936507936,149.0,2.0,205.0,0.06091370558375635,12.0,191.0,726043971911213057
true,34.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.3893805309734513,112.0,4.0,4.0,4.0,108.0,0.9642857142857143,108.0,4.0,157.0,0.16417910447761194,22.0,113.0,524935485370929152
unverified,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2366071428571428,223.0,3.0,45.0,36.0,187.0,0.8060344827586207,187.0,3.0,277.0,0.12890625,33.0,256.0,730939370765754368
unverified,43.0,15.0,4.0,1.0,0.0,0.0,0.0,0.0,1.380952380952381,230.0,5.0,2.0,2.0,228.0,0.991304347826087,228.0,5.0,319.0,0.1575091575091575,43.0,229.0,723365789378584578
false,31.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2427184466019416,205.0,3.0,17.0,17.0,189.0,0.9174757281553398,189.0,3.0,256.0,0.1276595744680851,30.0,207.0,674244561519161344
true,30.0,35.0,18.0,4.0,0.0,0.0,0.0,0.0,1.9184782608695652,183.0,5.0,5.0,5.0,178.0,0.9726775956284153,178.0,5.0,353.0,0.13270142180094788,28.0,182.0,553535829017370625
unverified,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0564516129032258,123.0,2.0,25.0,23.0,100.0,0.8,100.0,2.0,131.0,0.06818181818181818,9.0,125.0,731093044460683264
non-rumor,167.0,66.0,9.0,0.0,0.0,0.0,0.0,0.0,1.3727064220183487,871.0,4.0,8.0,8.0,865.0,0.9908361970217641,864.0,4.0,1197.0,0.06645230439442658,62.0,875.0,693086218276474880
non-rumor,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0284810126582278,315.0,2.0,12.0,12.0,303.0,0.9619047619047619,303.0,2.0,325.0,0.03374233128834356,11.0,314.0,692150118921957376
false,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0920245398773005,325.0,3.0,7.0,7.0,318.0,0.9784615384615385,318.0,3.0,356.0,0.06876790830945559,24.0,324.0,656830586577883136
true,36.0,26.0,6.0,4.0,0.0,0.0,0.0,0.0,1.9453125,127.0,5.0,12.0,12.0,115.0,0.905511811023622,115.0,5.0,249.0,0.17532467532467533,27.0,131.0,553543369604210689
non-rumor,94.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1083238312428734,876.0,3.0,144.0,139.0,740.0,0.8371040723981901,738.0,3.0,972.0,0.028824833702882482,26.0,887.0,767814876433571840
true,26.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0983050847457627,294.0,3.0,34.0,34.0,261.0,0.8847457627118644,261.0,3.0,324.0,0.06369426751592357,20.0,297.0,649985459389661184
true,47.0,11.0,29.0,8.0,0.0,0.0,0.0,0.0,1.6171617161716172,302.0,5.0,9.0,9.0,293.0,0.9701986754966887,293.0,5.0,490.0,0.10914454277286136,37.0,305.0,553531413459660800
non-rumor,245.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.361794500723589,690.0,3.0,62.0,59.0,631.0,0.9105339105339105,631.0,3.0,941.0,0.03899721448467967,28.0,700.0,693840291992838147
false,71.0,64.0,21.0,5.0,1.0,0.0,0.0,0.0,1.943894389438944,302.0,6.0,14.0,13.0,290.0,0.9539473684210527,289.0,6.0,589.0,0.20105820105820105,76.0,303.0,663925546812837888
true,707.0,211.0,22.0,3.0,2.0,1.0,0.0,0.0,1.9838969404186795,1241.0,7.0,100.0,94.0,1158.0,0.9205087440381559,1148.0,7.0,2464.0,0.08950843727072634,122.0,1265.0,614604054552018944
false,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.076086956521739,91.0,3.0,1.0,1.0,91.0,0.9891304347826086,90.0,3.0,99.0,0.07142857142857142,7.0,92.0,637382230394822656
false,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1888888888888889,89.0,3.0,1.0,1.0,88.0,0.9887640449438202,88.0,3.0,107.0,0.12745098039215685,13.0,88.0,661222523275636736
unverified,34.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2842105263157895,189.0,4.0,18.0,18.0,172.0,0.9052631578947369,171.0,4.0,244.0,0.12903225806451613,28.0,190.0,714531423273746432
false,164.0,66.0,31.0,12.0,10.0,1.0,0.0,0.0,1.766355140186916,677.0,7.0,12.0,12.0,665.0,0.982274741506647,665.0,7.0,1134.0,0.22362385321100917,195.0,693.0,675043569367982081
true,27.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,1.160919540229885,260.0,4.0,19.0,19.0,241.0,0.926923076923077,241.0,4.0,303.0,0.09722222222222222,28.0,260.0,544314234541469696
unverified,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.037037037037037,161.0,2.0,0.0,0.0,161.0,1.0,161.0,2.0,168.0,0.041666666666666664,7.0,161.0,651809229842608128
non-rumor,22.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0801033591731266,386.0,3.0,60.0,58.0,328.0,0.845360824742268,328.0,3.0,418.0,0.06763285024154589,28.0,387.0,693140340367187969
true,16.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1407035175879396,198.0,4.0,7.0,7.0,191.0,0.9646464646464646,191.0,4.0,227.0,0.09174311926605505,20.0,199.0,553534838880608256
false,166.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.442408376963351,381.0,3.0,90.0,87.0,302.0,0.7704081632653061,295.0,3.0,551.0,0.035443037974683546,14.0,392.0,633961125126668288
true,40.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,1.58,149.0,5.0,11.0,10.0,139.0,0.9266666666666666,139.0,5.0,237.0,0.14857142857142858,26.0,150.0,544512108885725184
true,64.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0729783037475344,1013.0,4.0,20.0,10.0,1004.0,0.98046875,1003.0,4.0,1088.0,0.05503731343283582,59.0,1043.0,552805488631758849
false,56.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3933333333333333,149.0,3.0,22.0,21.0,129.0,0.8543046357615894,128.0,3.0,209.0,0.13372093023255813,23.0,150.0,645711628046995462
true,169.0,155.0,14.0,0.0,0.0,0.0,0.0,0.0,1.5355303810504635,970.0,4.0,22.0,20.0,950.0,0.977366255144033,950.0,4.0,1491.0,0.08748824082784572,93.0,974.0,614608936491188225
non-rumor,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0607734806629834,361.0,2.0,19.0,17.0,344.0,0.9476584022038568,344.0,2.0,384.0,0.05,19.0,363.0,693858804279201794
false,62.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.338095238095238,211.0,3.0,40.0,37.0,177.0,0.815668202764977,174.0,3.0,281.0,0.145748987854251,36.0,234.0,674014933235859456
non-rumor,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.087087087087087,332.0,2.0,22.0,20.0,312.0,0.9341317365269461,312.0,2.0,362.0,0.023529411764705882,8.0,333.0,690042063958732800
non-rumor,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0298507462686568,267.0,2.0,29.0,28.0,239.0,0.8917910447761194,239.0,2.0,276.0,0.014760147601476014,4.0,267.0,693041285087756288
false,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0696202531645569,157.0,2.0,17.0,17.0,140.0,0.89171974522293,140.0,2.0,169.0,0.030864197530864196,5.0,156.0,620971220301787136
false,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.008849557522124,112.0,2.0,2.0,2.0,110.0,0.9821428571428571,110.0,2.0,114.0,0.02608695652173913,3.0,111.0,656880145769197568
true,530.0,140.0,32.0,7.0,2.0,2.0,0.0,0.0,1.4904982023626092,1947.0,7.0,78.0,65.0,1886.0,0.960285132382892,1883.0,7.0,2902.0,0.11780697779791573,260.0,1970.0,674263945172119552
false,698.0,189.0,63.0,24.0,3.0,0.0,0.0,0.0,1.6623314065510597,2098.0,6.0,141.0,125.0,1976.0,0.9333963155408597,1975.0,6.0,3451.0,0.17271293375394323,438.0,2204.0,612646796355960832
true,15.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1981132075471699,105.0,4.0,7.0,7.0,98.0,0.9333333333333333,98.0,4.0,127.0,0.09482758620689655,11.0,104.0,544511199702822913
unverified,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1979166666666667,95.0,3.0,2.0,2.0,93.0,0.9789473684210527,93.0,3.0,115.0,0.0594059405940594,6.0,94.0,650952376954650629
non-rumor,61.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0997304582210243,741.0,4.0,71.0,71.0,671.0,0.9043126684636119,670.0,4.0,816.0,0.07950310559006211,64.0,748.0,693441093048766464
true,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1238095238095238,104.0,2.0,5.0,5.0,99.0,0.9519230769230769,99.0,2.0,118.0,0.037037037037037035,4.0,103.0,553107921081749504
false,50.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3605442176870748,146.0,3.0,28.0,22.0,125.0,0.8169934640522876,125.0,3.0,200.0,0.1511627906976744,26.0,160.0,666190716448587776
non-rumor,225.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,1.5119453924914676,585.0,5.0,88.0,85.0,500.0,0.8503401360544217,500.0,5.0,886.0,0.1346153846153846,91.0,593.0,681199637387149313
true,803.0,427.0,192.0,122.0,34.0,13.0,3.0,1.0,2.1296645307199396,2710.0,9.0,78.0,64.0,2652.0,0.9714285714285714,2648.0,9.0,5650.0,0.19512919512919513,657.0,2808.0,632377165477191680
false,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0222222222222221,89.0,2.0,1.0,1.0,88.0,0.9887640449438202,88.0,2.0,92.0,0.043010752688172046,4.0,88.0,652992524504600576
unverified,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0636942675159236,156.0,3.0,17.0,17.0,139.0,0.8910256410256411,139.0,3.0,167.0,0.04878048780487805,8.0,156.0,763738618573623297
false,56.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2315436241610738,297.0,5.0,47.0,46.0,253.0,0.8433333333333334,251.0,5.0,367.0,0.051118210862619806,16.0,300.0,672927317191229440
unverified,84.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.425531914893617,234.0,4.0,26.0,25.0,211.0,0.890295358649789,209.0,4.0,335.0,0.0859375,22.0,238.0,757367391202471937
non-rumor,22.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0665188470066518,450.0,4.0,25.0,25.0,425.0,0.9444444444444444,425.0,4.0,481.0,0.0425531914893617,20.0,452.0,688819658057740290
non-rumor,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0371517027863777,322.0,2.0,19.0,19.0,303.0,0.9409937888198758,303.0,2.0,335.0,0.03303303303303303,11.0,322.0,692845716826300418
unverified,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1652173913043478,114.0,3.0,12.0,12.0,102.0,0.8947368421052632,102.0,3.0,134.0,0.088,11.0,115.0,756282236375277568
non-rumor,39.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.092485549132948,683.0,3.0,555.0,531.0,154.0,0.21720733427362482,154.0,3.0,567.0,0.13434727503168567,106.0,1242.0,692742353736568833
false,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1048951048951048,142.0,2.0,12.0,12.0,131.0,0.916083916083916,131.0,2.0,158.0,0.06578947368421052,10.0,143.0,675193315306905600
false,366.0,90.0,23.0,9.0,4.0,0.0,0.0,0.0,1.3178368121442126,2109.0,6.0,341.0,332.0,1778.0,0.8390750353940538,1778.0,6.0,2778.0,0.13209876543209875,321.0,2196.0,674364257799004160
unverified,119.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2491289198606272,573.0,4.0,23.0,21.0,553.0,0.9600694444444444,553.0,4.0,717.0,0.09335443037974683,59.0,579.0,716461257025581056
false,93.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2823529411764707,339.0,3.0,14.0,13.0,327.0,0.9589442815249267,326.0,3.0,436.0,0.07629427792915532,28.0,341.0,662430295254175744
true,21.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,1.4452054794520548,145.0,5.0,3.0,3.0,142.0,0.9793103448275862,142.0,5.0,211.0,0.15204678362573099,26.0,144.0,544512676643500033
false,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0374707259953162,426.0,3.0,41.0,39.0,388.0,0.9044289044289044,388.0,3.0,443.0,0.03619909502262444,16.0,428.0,638050997340893184
non-rumor,79.0,21.0,10.0,1.0,0.0,0.0,0.0,0.0,1.222543352601156,691.0,5.0,6.0,6.0,685.0,0.9913169319826338,685.0,5.0,846.0,0.10723514211886305,83.0,690.0,692890520960397312
true,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1124260355029585,168.0,3.0,19.0,19.0,149.0,0.8869047619047619,149.0,3.0,188.0,0.061452513966480445,11.0,167.0,544324444773433348
unverified,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2783505154639174,96.0,2.0,3.0,3.0,93.0,0.96875,93.0,2.0,124.0,0.04,4.0,95.0,745236050407194624
false,47.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0752551020408163,783.0,4.0,19.0,19.0,764.0,0.9757343550446999,764.0,4.0,843.0,0.05434782608695652,45.0,783.0,673079581520318464
non-rumor,9.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0537190082644627,241.0,4.0,7.0,7.0,234.0,0.970954356846473,234.0,4.0,255.0,0.04743083003952569,12.0,240.0,691995324752252930
false,22.0,9.0,5.0,3.0,0.0,0.0,0.0,0.0,1.5739130434782609,114.0,5.0,7.0,7.0,108.0,0.9391304347826087,107.0,5.0,181.0,0.19718309859154928,28.0,117.0,673984270902427650
true,59.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.215633423180593,370.0,4.0,13.0,13.0,357.0,0.9648648648648649,357.0,4.0,451.0,0.11904761904761904,50.0,372.0,524975705206304769
false,31.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,1.2962962962962963,165.0,5.0,12.0,12.0,153.0,0.9272727272727272,153.0,5.0,210.0,0.16666666666666666,33.0,168.0,618805892222468096
non-rumor,431.0,69.0,83.0,5.0,0.0,0.0,0.0,0.0,1.8857142857142857,944.0,5.0,35.0,34.0,915.0,0.9631578947368421,910.0,5.0,1782.0,0.12104283054003724,130.0,951.0,693086478667112448
true,683.0,374.0,116.0,30.0,8.0,8.0,3.0,1.0,1.9437939110070257,2134.0,9.0,122.0,114.0,2025.0,0.9431765253842571,2024.0,9.0,4150.0,0.18174846625766872,474.0,2163.0,614595181845839873
false,27.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1674418604651162,214.0,3.0,7.0,7.0,207.0,0.9672897196261683,207.0,3.0,251.0,0.11570247933884298,28.0,213.0,654371696195993600
false,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.213235294117647,135.0,2.0,43.0,38.0,101.0,0.7013888888888888,99.0,2.0,165.0,0.17177914110429449,28.0,149.0,665358434351509504
unverified,54.0,11.0,5.0,2.0,0.0,0.0,0.0,0.0,1.245,399.0,5.0,69.0,63.0,337.0,0.8300492610837439,337.0,5.0,498.0,0.109375,49.0,420.0,755439197125767169
false,18.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.1120689655172413,231.0,4.0,13.0,13.0,219.0,0.9439655172413793,219.0,4.0,258.0,0.06477732793522267,16.0,231.0,666633171325353989
unverified,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0346820809248556,172.0,2.0,11.0,11.0,161.0,0.936046511627907,161.0,2.0,179.0,0.03910614525139665,7.0,171.0,729647367457230850
unverified,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1194029850746268,133.0,3.0,22.0,22.0,112.0,0.835820895522388,111.0,3.0,150.0,0.09523809523809523,14.0,134.0,726442550266044416
false,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0472636815920398,401.0,3.0,78.0,76.0,326.0,0.806930693069307,325.0,3.0,421.0,0.04295942720763723,18.0,406.0,666070802924617728
true,70.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.311740890688259,246.0,3.0,5.0,5.0,241.0,0.9796747967479674,241.0,3.0,324.0,0.08208955223880597,22.0,245.0,544512664769396736
non-rumor,206.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5044843049327354,445.0,3.0,23.0,21.0,424.0,0.9485458612975392,424.0,3.0,671.0,0.040948275862068964,19.0,448.0,692106491365605376
unverified,45.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1708185053380782,280.0,3.0,164.0,158.0,122.0,0.42657342657342656,122.0,3.0,329.0,0.06040268456375839,18.0,292.0,727966590084485120
non-rumor,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1428571428571428,293.0,3.0,19.0,18.0,275.0,0.935374149659864,275.0,3.0,336.0,0.07570977917981073,24.0,294.0,691789524498845699
non-rumor,286.0,124.0,57.0,22.0,8.0,2.0,0.0,0.0,1.6952224052718288,1213.0,7.0,120.0,115.0,1101.0,0.9017199017199017,1099.0,7.0,2058.0,0.21028645833333334,323.0,1225.0,767803368081358848
