label,structural_1_hop_neighbor_count,structural_2_hop_neighbor_count,structural_3_hop_neighbor_count,structural_4_hop_neighbor_count,structural_5_hop_neighbor_count,structural_6_hop_neighbor_count,structural_7_hop_neighbor_count,structural_8_hop_neighbor_count,structural_avg_depth,structural_dst_user_count,structural_max_depth,structural_reply_count,structural_reply_users_count,structural_retweet_count,structural_retweet_reply_percent,structural_retweet_users_count,structural_root_to_all_depth_max,structural_root_to_all_depth_sum,structural_src_dst_user_percent,structural_src_user_count,structural_trace_count,tweet_id,temporal___avg_diff_time_from_root,temporal___avg_diff_time_from_src,temporal___avg_reply_time_from_root,temporal___avg_reply_time_from_src,temporal___avg_retweet_time_from_root,temporal___avg_retweet_time_from_src,social_____avg_delta_follower,social_____avg_delta_friend,social_____avg_favourites,social_____avg_follower,social_____avg_friend,social_____avg_listed,social_____avg_statuses,social_____delta_followers_count_down,social_____delta_followers_count_else,social_____delta_followers_count_up,social_____delta_followers_count_up_percent,social_____max_delta_follower,social_____max_delta_friend,social_____max_favourites,social_____max_follower,social_____max_friend,social_____max_listed,social_____max_statuses,social_____verified_percent,struct_temp_1_hop_neighbor_max_time,struct_temp_1_hop_neighbor_mean_time,struct_temp_1_hop_neighbor_median_time,struct_temp_2_hop_neighbor_max_time,struct_temp_2_hop_neighbor_mean_time,struct_temp_2_hop_neighbor_median_time
false,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.041860465116279,214.0,2.0,1.0,1.0,213.0,0.9953271028037384,213.0,2.0,224.0,0.036036036036036036,8.0,213.0,656870311057575936,1.0757943925233644,156.1306074766355,0.0,46.05,1.0808450704225352,156.6474178403756,-14562295.068965515,-3911.763546798029,13407.921568627451,77516.35294117648,1682.1078431372546,415.8676470588235,31666.72549019608,202.0,0.0,1.0,0.0049261083743842365,412.0,51129.0,449232.0,15318105.0,56569.0,56989.0,710340.0,0.0196078431372549,12598.6,133.0612745098039,16.835,12598.6,133.0612745098039,41.86000000000001
true,169.0,41.0,23.0,7.0,4.0,0.0,0.0,0.0,1.7505112474437627,488.0,6.0,33.0,31.0,457.0,0.9326530612244898,457.0,6.0,856.0,0.15424610051993068,89.0,490.0,616311563071434753,135.48102040816326,1127.2766122448982,60.18333333333333,226.58242424242425,140.9182713347921,1192.31579868709,-92178.96753246752,337.8376623376623,18227.631691648818,3649.982869379015,1045.777301927195,103.98929336188436,29622.730192719486,434.0,0.0,28.0,0.060606060606060615,128977.0,29244.0,847700.0,281266.0,29480.0,4404.0,496681.0,0.044967880085653104,201131.52,1976.7308606557385,93.935,201131.52,1976.7308606557385,37.064999999999976
non-rumor,49.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.2222222222222223,323.0,4.0,3.0,3.0,320.0,0.9907120743034056,320.0,4.0,396.0,0.11019283746556474,40.0,322.0,641666167992647681,6.239907120743034,92.11195046439629,0.0,5.543333333333334,6.298406249999998,92.92353125,-2058122.454248366,-17480.24183006536,10112.724025974028,10375.818181818182,1205.7662337662334,184.672077922078,31063.02597402597,298.0,0.0,8.0,0.026143790849673203,1653.0,15314.0,282287.0,2525614.0,37592.0,30903.0,1955494.0,0.03896103896103896,6249.93,97.35254752851708,5.1,6249.93,97.35254752851708,4.25
true,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.128491620111732,357.0,2.0,18.0,18.0,340.0,0.9497206703910616,339.0,2.0,404.0,0.03773584905660377,14.0,357.0,525060425184858112,0.4099441340782123,100.91480446927376,0.5022222222222221,10.072222222222225,0.40505882352941175,105.72411764705885,-51284248.91428571,694.536507936508,18801.434920634918,315818.6126984127,2337.980952380952,1136.7809523809524,74523.20317460317,309.0,0.0,6.0,0.01904761904761905,27325.0,137701.0,605706.0,55087399.0,137822.0,183185.0,1800870.0,0.03492063492063492,1560.07,94.57522580645158,22.025,1560.07,94.57522580645158,23.685
false,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1533742331288344,162.0,3.0,36.0,32.0,130.0,0.7831325301204819,130.0,3.0,188.0,0.0898876404494382,16.0,168.0,672513234419638273,57.89957831325301,230.93662650602408,0.2830555555555555,673.4825,73.8549230769231,108.38546153846157,-12295170.93006993,517.5244755244755,27025.412587412582,136869.46153846153,1174.1818181818182,646.4615384615385,53874.279720279716,140.0,0.0,3.0,0.02097902097902098,2644.0,11776.0,279264.0,14269203.0,12312.0,56266.0,476841.0,0.05594405594405594,22116.75,271.53557971014493,13.6,22116.75,271.53557971014493,7.950000000000001
true,71.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.690909090909091,109.0,3.0,7.0,7.0,102.0,0.9357798165137616,102.0,3.0,186.0,0.07627118644067797,9.0,109.0,544382892378714113,42.918807339449536,92.01247706422018,0.3828571428571429,126.69,45.83794117647059,89.63264705882355,-3951780.9569892483,-2440.193548387097,17205.425531914894,86559.79787234042,1008.0957446808513,436.0425531914894,45276.54255319149,91.0,0.0,2.0,0.021505376344086027,5212336.0,10867.0,189116.0,6532480.0,13779.0,23869.0,505570.0,0.06382978723404255,1687.83,129.36628571428574,65.13,1687.83,129.36628571428574,29.050000000000008
non-rumor,119.0,10.0,9.0,1.0,0.0,0.0,0.0,0.0,1.6926229508196722,243.0,5.0,6.0,6.0,237.0,0.9753086419753086,237.0,5.0,413.0,0.07251908396946563,19.0,244.0,681824512120324096,776.2632510288065,3022.5226337448553,0.0,1741.5883333333331,795.9154852320676,3054.9513502109703,-16323797.392523365,621.873831775701,20490.3407079646,200219.81858407077,1748.646017699115,1046.2964601769909,72821.80088495575,207.0,0.0,7.0,0.032710280373831765,42092376.0,54347.0,356913.0,43296892.0,54814.0,199783.0,1711952.0,0.030973451327433624,193293.6,4770.370288461539,1303.205,193293.6,4770.370288461539,45.6199999999999
false,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09375,95.0,2.0,5.0,5.0,90.0,0.9473684210526316,90.0,2.0,105.0,0.09523809523809523,10.0,95.0,620835698514464768,18.649263157894737,1203.0036842105262,11.46,127.49799999999999,19.048666666666666,1262.754,-5060.0,-1492.875,23168.306818181816,1314.3863636363635,956.8863636363636,66.95454545454545,59928.545454545456,5.0,0.0,3.0,0.375,804.0,458.0,297291.0,28057.0,11325.0,1429.0,540757.0,0.0,40180.42,1338.0479999999998,62.85,40180.42,1338.0479999999998,4.605000000000004
false,185.0,36.0,5.0,0.0,0.0,0.0,0.0,0.0,1.1985347985347985,1364.0,4.0,34.0,33.0,1331.0,0.9750915750915752,1331.0,4.0,1636.0,0.123956326268465,193.0,1366.0,626898253900943360,166.90792673992672,1923.2445934065936,9.299705882352944,1688.7964705882353,170.93398196844475,1929.233501126972,-888893.152191894,-236395.682382134,15168.769480519482,1552.8887987012988,785.4350649350648,9.243506493506494,28220.898538961035,1137.0,1.0,71.0,0.0587262200165426,12153.0,2005.0,384679.0,1044811.0,278054.0,3455.0,381211.0,0.0,72883.13,2003.6502987697681,59.865,72883.13,2003.6502987697681,18.15
false,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0389610389610389,230.0,3.0,23.0,23.0,207.0,0.9,207.0,3.0,240.0,0.037656903765690385,9.0,229.0,618804516578680832,0.27747826086956523,691.7713913043477,0.0,641.2704347826087,0.3083091787439613,697.3826086956523,-39997021.77884615,-284.86538461538464,13320.330143540672,201656.76555023924,825.3875598086123,704.0287081339712,54160.91387559809,206.0,0.0,2.0,0.009615384615384616,657.0,11456.0,215017.0,41806531.0,12564.0,138304.0,2084710.0,0.004784688995215311,98014.53,712.7426244343901,22.43,98014.53,712.7426244343901,32.865
false,90.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2981530343007917,378.0,3.0,70.0,65.0,314.0,0.8177083333333334,313.0,3.0,492.0,0.11475409836065575,49.0,395.0,672632899921833984,813.0051822916665,3034.392369791666,739.3788571428572,3292.243428571428,829.418694267516,2976.9096496815278,-111355.54035087721,-43902.00701754386,31923.09779179811,6960.4321766561525,5612.435331230285,96.86119873817034,70017.54258675079,277.0,0.0,8.0,0.02807017543859649,244154.0,92045.0,564686.0,246755.0,143069.0,3451.0,846612.0,0.003154574132492113,12058.33,3475.088260869566,1504.835,12058.33,3475.088260869566,507.67000000000013
true,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0285714285714285,209.0,2.0,11.0,11.0,198.0,0.9473684210526316,198.0,2.0,216.0,0.036866359447004615,8.0,208.0,553588178687655936,0.09287081339712916,8.3722009569378,0.0,7.868181818181817,0.09803030303030304,8.40020202020202,-11128614.368983958,-4302.877005347594,23463.084656084655,62876.55026455026,1362.4603174603176,535.4285714285714,48338.809523809534,185.0,0.0,2.0,0.0106951871657754,6753.0,6907.0,480278.0,11436164.0,12614.0,84907.0,710340.0,0.07407407407407407,165.68,7.828910891089102,2.37,165.68,7.828910891089102,12.21
false,59.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,1.1873684210526316,474.0,4.0,3.0,3.0,471.0,0.9936708860759492,471.0,4.0,564.0,0.12384473197781885,67.0,474.0,594687353937100801,2401.825274261604,13417.756898734177,2705.933333333333,2763.916666666666,2399.888280254777,13485.615753715501,-121789.80049875313,360.05236907730665,16371.635036496353,1048.1946472019465,527.3844282238443,8.659367396593675,25209.603406326034,381.0,0.0,20.0,0.049875311720698264,4246.0,4852.0,189485.0,139388.0,4975.0,809.0,233806.0,0.0,475048.13,15705.092119700736,8125.83,475048.13,15705.092119700736,37.45000000000073
false,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1544117647058822,135.0,3.0,7.0,7.0,128.0,0.9481481481481482,128.0,3.0,157.0,0.10596026490066224,16.0,135.0,613016993692798977,6.706814814814815,36.70918518518519,0.0,30.91,7.07359375,37.026328125000006,-199465.66393442624,-268.10655737704917,46013.49593495935,4166.024390243902,1678.6829268292686,77.98373983739837,102972.57723577236,121.0,0.0,1.0,0.008196721311475409,6893.0,44186.0,646561.0,227998.0,45090.0,2025.0,844635.0,0.008130081300813009,307.1,36.7473275862069,17.6,307.1,36.7473275862069,8.714999999999996
false,29.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.1655172413793105,289.0,4.0,2.0,2.0,287.0,0.9930795847750864,287.0,4.0,338.0,0.09404388714733544,30.0,290.0,663385747177775105,14.121453287197232,1400.3195501730106,0.0,57.785,14.219860627177704,1409.6751916376306,-1728130.6762295081,606.9795081967212,13524.382470119524,9012.812749003984,659.605577689243,43.99601593625498,56521.10756972111,234.0,0.0,10.0,0.04098360655737705,7768.0,32850.0,354190.0,1953340.0,32851.0,7605.0,2084412.0,0.0,307026.13,1596.5199203187249,16.61,307026.13,1596.5199203187249,15.810000000000002
non-rumor,41.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0676470588235294,679.0,3.0,7.0,7.0,672.0,0.9896907216494846,672.0,3.0,726.0,0.051675977653631286,37.0,678.0,766715993385267201,26.665081001472753,342.48150220913107,0.0,41.51285714285713,26.942842261904758,345.61659226190466,-10444719.95623987,901.7633711507292,21491.25241157556,19116.40032154341,972.1929260450161,156.66720257234726,25162.368167202574,604.0,0.0,13.0,0.021069692058346842,5819.0,100511.0,1002245.0,11131171.0,100525.0,73850.0,821575.0,0.006430868167202572,15952.35,349.4214015748034,37.42,15952.35,349.4214015748034,17.019999999999982
non-rumor,162.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.2083333333333333,815.0,4.0,161.0,147.0,669.0,0.8060240963855422,668.0,4.0,986.0,0.053426248548199766,46.0,854.0,693141729529184256,24.27562650602409,971.4290722891568,24.120124223602485,1117.8113043478259,24.31304932735426,936.2010612855006,-10465550.665775403,758.6229946524063,24134.48987854251,21132.080971659918,1142.982456140351,164.97165991902833,39014.92712550608,731.0,0.0,17.0,0.022727272727272728,11882.0,34410.0,494229.0,13259006.0,34640.0,63394.0,1320250.0,0.02294197031039136,74037.12,850.9485670261937,46.63,74037.12,850.9485670261937,64.8
true,17.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1526717557251909,130.0,3.0,6.0,6.0,124.0,0.953846153846154,124.0,3.0,151.0,0.08450704225352113,12.0,129.0,524966904885428226,0.2591538461538461,29.92107692307692,0.05333333333333334,13.858333333333334,0.26911290322580644,30.698306451612897,-2349755.4905660376,2059.6603773584907,22180.675925925927,34095.24074074074,2741.0,323.3796296296296,84808.56481481482,104.0,0.0,2.0,0.018867924528301886,341.0,121002.0,244071.0,2770058.0,121629.0,22238.0,1320182.0,0.037037037037037035,1273.85,33.69378378378378,5.43,1273.85,33.69378378378378,4.48
false,34.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,1.3365384615384617,207.0,4.0,26.0,25.0,182.0,0.875,182.0,4.0,278.0,0.15853658536585366,39.0,209.0,613393657161510913,118.34826923076923,305.7098557692308,4.6534615384615385,115.9426923076923,134.59038461538464,332.8194505494505,-855486.6927374301,150.63128491620108,29488.377659574468,6864.494680851064,705.5,59.30319148936171,55957.382978723406,169.0,0.0,10.0,0.05586592178770949,2112.0,10305.0,287640.0,1079261.0,10753.0,6511.0,448291.0,0.010638297872340424,25661.32,379.7595512820513,25.58,25661.32,379.7595512820513,22.27
true,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.077669902912621,205.0,3.0,8.0,8.0,197.0,0.9609756097560976,197.0,3.0,222.0,0.04651162790697674,10.0,204.0,544374511194632192,0.4298536585365853,48.92317073170732,0.5525,71.03375,0.4248730964467005,48.02527918781725,-13329969.322404372,874.3825136612022,21472.804347826088,82066.55978260869,1484.483695652174,369.1630434782609,59057.40217391304,181.0,0.0,2.0,0.01092896174863388,204487.0,16893.0,790892.0,14269186.0,17429.0,56265.0,849061.0,0.03260869565217391,1287.52,44.24592592592595,8.48,1287.52,44.24592592592595,13.23
unverified,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0957446808510638,93.0,3.0,2.0,2.0,91.0,0.9784946236559141,91.0,3.0,103.0,0.0970873786407767,10.0,92.0,706665777332621314,3.7252688172043014,50.184623655913974,0.0,77.89,3.8071428571428565,49.57571428571429,-929578.9518072291,-113970.46987951806,35264.82558139535,14159.046511627908,3948.430232558139,282.6976744186046,54576.1046511628,82.0,0.0,1.0,0.012048192771084338,334.0,111.0,277174.0,1004384.0,125313.0,14353.0,969145.0,0.011627906976744186,1378.95,53.573571428571434,3.54,1378.95,53.573571428571434,3.285
non-rumor,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.025078369905956,318.0,2.0,60.0,57.0,261.0,0.8130841121495327,261.0,2.0,327.0,0.03048780487804878,10.0,322.0,693827886021767169,7.249532710280373,752.483800623053,0.1,1206.0958333333333,8.893103448275859,648.2051724137932,-12839326.69122807,1139.340350877193,28723.852631578946,48035.56140350877,1422.8877192982457,317.50526315789466,54663.41052631579,283.0,0.0,2.0,0.007017543859649123,1145.0,33404.0,516339.0,13259003.0,33634.0,63394.0,1320250.0,0.017543859649122806,58176.72,780.4916181229771,21.13,58176.72,780.4916181229771,8.745000000000001
false,46.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,104.0,3.0,0.0,0.0,104.0,1.0,104.0,3.0,154.0,0.10344827586206896,12.0,103.0,604354747357859842,65.52663461538462,3222.024423076923,,,65.52663461538462,3222.024423076923,-13809.161290322581,-54.75268817204301,3901.66,1281.81,795.53,23.28,5834.39,90.0,0.0,3.0,0.03225806451612903,670.0,7845.0,24161.0,24993.0,8488.0,184.0,79200.0,0.0,103914.1,5389.078928571432,348.63,103914.1,5389.078928571432,537.46
non-rumor,86.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,1.158660844250364,686.0,4.0,21.0,19.0,667.0,0.9694767441860463,667.0,4.0,796.0,0.08042895442359249,60.0,688.0,767709416879644672,31.07123546511628,247.4334447674419,13.708571428571426,478.91142857142853,31.617886056971518,240.1455322338831,-37425426.061514206,750.5567823343848,38883.62323390895,71569.97488226059,1987.9780219780218,455.4646781789639,64463.64835164835,626.0,0.0,8.0,0.012618296529968454,38872.0,51840.0,695411.0,43297400.0,52727.0,199789.0,1651606.0,0.06279434850863423,12443.47,265.6037860780983,103.27,12443.47,265.6037860780983,23.835000000000008
non-rumor,127.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,1.56,374.0,3.0,15.0,14.0,360.0,0.96,360.0,3.0,585.0,0.05555555555555555,22.0,376.0,693146363685642240,39.35493333333333,587.5267466666667,2.5113333333333334,366.398,40.89008333333333,596.7404444444444,-3523701.0313479626,673.3134796238245,35217.11728395062,22163.31790123457,1349.8179012345681,161.66358024691357,48538.59259259259,316.0,0.0,3.0,0.009404388714733545,8591.0,51901.0,599447.0,6285659.0,52177.0,38757.0,1055370.0,0.00308641975308642,10104.95,234.3606341463416,31.68,10104.95,234.3606341463416,43.99
